Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
47QFCA23F0054,9/27/2023,"IST RESEARCH, LLC",12888808,"IST DO32 ORIGINAL AWARD. THIS SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0075,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,COMMANDER,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Navy,DELIVERY ORDER,9/29/2023,9/28/2025,7/30/2025,CONT_AWD_47QFCA23F0054_4732_47QFCA20D0004_4732,9/27/2023,47QFCA
47QFCA23F0059,9/27/2023,"IST RESEARCH, LLC",1331311,"IST DO33 ORIGINAL AWARD. THIS SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0085,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,WASHINGTON HEADQUARTERS SERVICES,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Washington Headquarters Services,DELIVERY ORDER,9/29/2023,9/28/2024,9/28/2023,CONT_AWD_47QFCA23F0059_4732_47QFCA20D0004_4732,9/27/2023,47QFCA
47QFCA23F0060,9/27/2023,"IST RESEARCH, LLC",549632,"IST DO34 ORIGINAL AWARD. THIS SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0083,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F2VUJ3 HQ USSOCOM J3,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,9/29/2023,9/28/2024,9/28/2023,CONT_AWD_47QFCA23F0060_4732_47QFCA20D0004_4732,9/27/2023,47QFCA
FA237723FB001,9/14/2023,EDAPTIVE COMPUTING INC,2286747,TRUST LAB IP VERIFICATION AND TOOL ENHANCEMENTS,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,COST PLUS FIXED FEE,,F4FBBL AFRL RYD,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,9/15/2023,1/15/2026,9/14/2023,CONT_AWD_FA237723FB001_9700_FA865018D1612_9700,9/14/2023,FA2377
FA441723C0007,6/30/2023,"BOUNCE IMAGING, INC",1699733.58,SBIR PHASE II SEQUENTIAL BOUNCE IMAGING TOPIC# AF192-D001,FA441723QC080,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,F4FBEQ AFRL RGF,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,334419 OTHER ELECTRONIC COMPONENT MANUFACTURING,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,7/17/2023,11/17/2025,2/28/2025,CONT_AWD_FA441723C0007_9700_-NONE-_-NONE-,6/30/2023,FA4417
FA702223C0005,7/6/2023,SPACE COAST INTELLIGENT SOLUTIONS INC,586251.84,THE AIR FORCE TECHNICAL APPLICATION CENTER CONTRACT FOR MATERIALS ANALYSIS GEOGRAPHICAL INFORMATION SYSTEM (MAGIS) SOFTWARE AND SUPPORT.,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3KTK7 USAF SDB,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541330 ENGINEERING SERVICES,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,7/12/2023,11/11/2024,8/29/2023,CONT_AWD_FA702223C0005_9700_-NONE-_-NONE-,7/6/2023,FA7022
FA865023C1000,12/21/2022,BATTELLE MEMORIAL INSTITUTE,17223084.25,MICROELECTRONICS EMBEDDED SYSTEM AND ASSURANCE II,FA865019S1932,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,2,COST PLUS FIXED FEE,NO SET ASIDE USED.,F4FDAA AFLCMC XA BLDG 16,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,12/22/2022,3/22/2028,4/17/2025,CONT_AWD_FA865023C1000_9700_-NONE-_-NONE-,12/21/2022,FA8650
FA865023C1001,10/14/2022,RIVERSIDE RESEARCH INSTITUTE,17599833.75,MICROELECTRONICS AND EMBEDDED SYSTEM ASSURANCE II,FA865019S1932,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,2,COST PLUS FIXED FEE,NO SET ASIDE USED.,F4FDAA AFLCMC XA BLDG 16,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,10/14/2022,1/14/2028,5/19/2025,CONT_AWD_FA865023C1001_9700_-NONE-_-NONE-,10/14/2022,FA8650
FA865023C1024,12/22/2022,"LEIDOS, INC.",17179613.24,ELECTRO-OPTIC SENSING DEFENSIVE ELECTRONIC WARFARE,FA865020S1119,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,F3QCDG EW AVIONICS HBY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,12/22/2022,12/18/2026,4/3/2025,CONT_AWD_FA865023C1024_9700_-NONE-_-NONE-,12/22/2022,FA8650
FA865023C1043,11/10/2022,"LEIDOS, INC.",11649731.78,"MISSION SYSTEMS OPEN ARCHITECTURE PROTOTYPING, EXPERIMENTATION, AND DEMONSTRATION",FA865020S1958,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,6,COST PLUS FIXED FEE,NO SET ASIDE USED.,F4FBBP AFRL RYZ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,10/31/2022,1/29/2027,4/24/2025,CONT_AWD_FA865023C1043_9700_-NONE-_-NONE-,11/10/2022,FA8650
FA865023C1136,11/10/2022,RIVERSIDE RESEARCH INSTITUTE,2961615,"MISSION SYSTEMS OPEN ARCHITECTURE PROTOTYPING, EXPERIMENTATION, AND DEMONSTRATION",FA865020S1958,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,6,COST PLUS FIXED FEE,NO SET ASIDE USED.,F4FBBP AFRL RYZ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,10/31/2022,1/29/2027,5/16/2025,CONT_AWD_FA865023C1136_9700_-NONE-_-NONE-,11/10/2022,FA8650
FA865023F1052,3/27/2023,"L3HARRIS TECHNOLOGIES, INC.",8045104,TECHNOLOGIES FOR ADVANCED SIMULATION CAPABILITIES,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,F4FBBK AFRL RYW,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,3/27/2023,8/17/2027,5/19/2025,CONT_AWD_FA865023F1052_9700_FA865020D1960_9700,3/27/2023,FA8650
FA872623FB009,12/30/2022,"ICR, INC.",15278096,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN):  DO-02, STEEL BRIDGE II",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,U. S. CYBER COMMAND (USCYBERCOM),AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,U.S. Cyber Command,DELIVERY ORDER,12/30/2022,12/29/2025,4/4/2025,CONT_AWD_FA872623FB009_9700_FA872622DB001_9700,12/30/2022,FA8726
FA872623FB010,2/1/2023,"ICR, INC.",3139958,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-03, WHISTLE PIG II",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2MTN7 AFLCMC HNC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/1/2023,1/31/2025,4/4/2025,CONT_AWD_FA872623FB010_9700_FA872622DB001_9700,2/1/2023,FA8726
FA872623FB011,3/7/2023,"ICR, INC.",1535000,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-04, BIG BLUE",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,WASHINGTON HEADQUARTERS SERVICES,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Washington Headquarters Services,DELIVERY ORDER,3/7/2023,6/1/2024,4/26/2025,CONT_AWD_FA872623FB011_9700_FA872622DB001_9700,3/7/2023,FA8726
FA872623FB012,3/7/2023,"ICR, INC.",9646920,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-05, SNAPGLASS DYNAMITE III",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2BDDH AFLCMC HNJ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/7/2023,9/30/2024,4/4/2025,CONT_AWD_FA872623FB012_9700_FA872622DB001_9700,3/7/2023,FA8726
FA872623FB021,6/30/2023,"ICR, INC.",19732490,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-06, CENTURION II",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,WASHINGTON HEADQUARTERS SERVICES,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Washington Headquarters Services,DELIVERY ORDER,6/29/2023,2/28/2026,4/29/2025,CONT_AWD_FA872623FB021_9700_FA872622DB001_9700,6/30/2023,FA8726
FA872623FB026,5/25/2023,"ICR, INC.",956525,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-07, FASTNICS II",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,DEF ADVANCED RESEARCH PROJECTS AGCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Defense Advanced Research Projects Agency,DELIVERY ORDER,5/24/2023,11/24/2024,4/26/2025,CONT_AWD_FA872623FB026_9700_FA872622DB001_9700,5/25/2023,FA8726
FA872623FB043,6/23/2023,"ICR, INC.",17048316.49,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-09, DIAMONDPLAY III",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,WASHINGTON HEADQUARTERS SERVICES,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Washington Headquarters Services,DELIVERY ORDER,6/22/2023,3/31/2026,5/1/2025,CONT_AWD_FA872623FB043_9700_FA872622DB001_9700,6/23/2023,FA8726
FA872623FB058,9/15/2023,"ICR, INC.",1899137,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-10, MYSTIC RAVEN",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2MTN7 AFLCMC HNC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/15/2023,9/14/2024,4/4/2025,CONT_AWD_FA872623FB058_9700_FA872622DB001_9700,9/15/2023,FA8726
FA872623FB062,8/14/2023,"ICR, INC.",10685287,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - DO-12, MUSTANG",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2BDDH AFLCMC HNJ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,8/8/2023,12/31/2024,4/26/2025,CONT_AWD_FA872623FB062_9700_FA872622DB001_9700,8/14/2023,FA8726
FA872623FB072,8/2/2023,"ICR, INC.",4004331,"ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN), DO-13:  OPTIMUS DDIL",,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2BDDH AFLCMC HNJ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,7/31/2023,8/1/2025,4/26/2025,CONT_AWD_FA872623FB072_9700_FA872622DB001_9700,8/2/2023,FA8726
FA872623FB081,9/22/2023,"ICR, INC.",1100000,ACCELERATED SPECIAL PROGRAMS FOR EMERGENT NEEDS (ASPEN) - UMAMI TRANSITION,,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,F2BDDH AFLCMC HNJ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/22/2023,9/21/2024,4/4/2025,CONT_AWD_FA872623FB081_9700_FA872622DB001_9700,9/22/2023,FA8726
