Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
FA882025CB004,5/16/2025,"LEOLABS FEDERAL, INC.",8678000,OPEN TOPIC NO. AFX236-DPCS01 - SEQUENTIAL PHASE II PROPOSAL F2-18968: ADVANCED ULTRA-HIGH FREQUENCY PHASED ARRAY RADAR. STRATFI FOLLOW-ON TO DIRECT TO PHASE II AWARD FA8649-23-P-1049,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,F4FBEQ AFRL RGF,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,5/23/2025,5/22/2026,5/19/2025,CONT_AWD_FA882025CB004_9700_-NONE-_-NONE-,5/16/2025,FA8820
FA945125CX002,10/21/2024,THE BOEING COMPANY,28574965.54,"STARFIRE ELECTRO-OPTICS, LASER LAB ADVANCEMENT (STELLA)",,ONLY ONE SOURCE,NOT COMPETED,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,AFRL RDS SOR,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,10/21/2024,10/20/2029,5/7/2025,CONT_AWD_FA945125CX002_9700_-NONE-_-NONE-,10/21/2024,FA9451
FA945125FX004,2/20/2025,"KBR WYLE SERVICES, LLC",2412996.67,"AF MAUI OPTICAL SUPERCOMPUTING ADVANCED SPACE, TECHNOLOGY, RESEARCH AND OPTIMIZATION (ASTRO). OPERATIONS ASTRO TASK ORDER 1",FA945122R1000,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,F2KBAH AFRL DET 15 MAUI AFRL RDSM,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/7/2025,7/14/2028,6/4/2025,CONT_AWD_FA945125FX004_9700_FA945125DX001_9700,2/20/2025,FA9451
FA945125FX005,2/20/2025,"KBR WYLE SERVICES, LLC",3517082,"AF MAUI OPTICAL AND SUPERCOMPUTING (AMOS) ADVANCED SPACE, TECHNOLOGY, RESEARCH AND OPTIMIZATION (ASTRO). MAINTENANCE ASTRO TASK ORDER 2",FA945122R1000,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,F2KBAH AFRL DET 15 MAUI AFRL RDSM,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/7/2025,7/14/2028,6/4/2025,CONT_AWD_FA945125FX005_9700_FA945125DX001_9700,2/20/2025,FA9451
FA945125FX006,2/20/2025,"KBR WYLE SERVICES, LLC",74100,"AF MAUI OPTICAL AND SUPERCOMPUTING (AMOS) ADVANCED SPACE, TECHNOLOGY, RESEARCH AND OPTIMIZATION (ASTRO). PROJECTS AND MODERNIZATION ASTRO TASK ORDER 3.",FA945122R1000,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,F2KBAH AFRL DET 15 MAUI AFRL RDSM,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/7/2025,7/14/2027,6/4/2025,CONT_AWD_FA945125FX006_9700_FA945125DX001_9700,2/20/2025,FA9451
FA945325FX016,3/7/2025,"KBR WYLE SERVICES, LLC",382000,BRINGING RESPONSIVE OPERATION THROUGH NOVEL COMPUTING ON-DEMAND (BRONCO) II,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,AFRL RVF,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/8/2025,3/7/2026,3/12/2025,CONT_AWD_FA945325FX016_9700_FA945324DX002_9700,3/7/2025,FA9453
FA945325FX019,3/25/2025,"KBR WYLE SERVICES, LLC",1000000,LEAN-AGILE SOFTWARE DEVELOPMENT TO PROACTIVELY DELIVER THE IRIS APPLICATION,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,F2TS2A SMC LE,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/26/2025,3/25/2026,4/22/2025,CONT_AWD_FA945325FX019_9700_FA945324DX002_9700,3/25/2025,FA9453
HDTRA125C0004,2/5/2025,AERIS LLC,1343305,NEXT GENERATION MULTI-SCALE CHEMICAL AND BIOLOGICAL HAZARD TRANSPORT AND DISPERSION MODEL,HDTRA122S0002,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DEFINITIVE CONTRACT,2/10/2025,2/9/2026,5/22/2025,CONT_AWD_HDTRA125C0004_9700_-NONE-_-NONE-,2/5/2025,HDTRA1
HDTRA125C0005,12/3/2024,AERIS LLC,1152211.86,MULTI ECHELON TACTICAL OPERATIONAL RESPONSE (MENTOR),HDTRA122S0002,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,7,COST PLUS FIXED FEE,SMALL BUSINESS SET ASIDE - TOTAL,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DEFINITIVE CONTRACT,12/2/2024,12/1/2025,5/21/2025,CONT_AWD_HDTRA125C0005_9700_-NONE-_-NONE-,12/3/2024,HDTRA1
HDTRA125C0006,10/2/2024,SALTENNA INC.,1099980.2,SUBTERRANEAN WIRELESS COMMUNICATIONS FOR COUNTER-WMD MISSIONS - SBIR PHASE II,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DEFINITIVE CONTRACT,10/2/2024,10/7/2026,10/2/2024,CONT_AWD_HDTRA125C0006_9700_-NONE-_-NONE-,10/2/2024,HDTRA1
HDTRA125C0007,2/25/2025,"PARABON NANOLABS, INC.",1099912,SMALL BUSINESS INNOVATION RESEARCH PHASE II - A SYSTEM FOR ENGINEERING NANOCARRIERS ABLE TO TRANSPORT CARGO ACROSS THE BLOOD-BRAIN BARRIER.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DEFINITIVE CONTRACT,2/25/2025,2/25/2027,2/25/2025,CONT_AWD_HDTRA125C0007_9700_-NONE-_-NONE-,2/25/2025,HDTRA1
HDTRA125F0001,12/4/2024,"APPLIED RESEARCH ASSOCIATES, INC.",19096818,DTRA TECHNICAL REACHBACK SERVICES,HDTRA118R0025,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541990 ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,12/8/2024,12/7/2029,4/21/2025,CONT_AWD_HDTRA125F0001_9700_HDTRA119D0007_9700,12/4/2024,HDTRA1
HDTRA125FE002,4/24/2025,"APPLIED RESEARCH ASSOCIATES, INC.",608542,"THE CONTRACTOR SHALL PROVIDE SUPPORT AS SET FORTH IN ATTACHMENT 1, STATEMENT OF WORK",HDTRA125R0003,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,5/1/2025,4/30/2026,4/24/2025,CONT_AWD_HDTRA125FE002_9700_HDTRA124D0002_9700,4/24/2025,HDTRA1
HDTRA125FE003,4/15/2025,"LEIDOS, INC.",0,STRENGTHENING FUTURE ARMS CONTROL MODELING AND ANALYSIS,HDTRA125R0003,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,5/1/2025,5/1/2025,5/1/2025,CONT_AWD_HDTRA125FE003_9700_HDTRA124D0004_9700,4/15/2025,HDTRA1
HDTRA125FE004,4/14/2025,"APPLIED RESEARCH ASSOCIATES, INC.",1080211.39,HAZARD PREDICTION AND ASSESSMENT CAPABILITY INTEGRATION,HDTRA124R0099,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,4/15/2025,4/14/2026,4/14/2025,CONT_AWD_HDTRA125FE004_9700_HDTRA124D0002_9700,4/14/2025,HDTRA1
HDTRA125FE013,4/11/2025,SOUTHWEST RESEARCH INSTITUTE,250000,"THE PURPOSE FOR THIS REQUIREMENT IS TO PROVIDE ENGINEERING AND TECHNICAL SUPPORT TO PROCURE, DESIGN, DEVELOP AND HOST TEST ARTICLES THAT WILL AIDE IN THE VERIFICATION AND VALIDATION OF RESEARCH AND DEVELOPMENT CAPABILITIES FOR PROJECT SIREN.",HDTRA125RE010,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,4/15/2025,4/14/2026,4/11/2025,CONT_AWD_HDTRA125FE013_9700_HDTRA118D0002_9700,4/11/2025,HDTRA1
HDTRA125FE020,5/13/2025,"LEIDOS, INC.",627662,STRENGTHENING FUTURE ARMS CONTROL (SFAC) MODELING AND ANALYSIS,HDTRA125R0003,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,COST PLUS FIXED FEE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,5/15/2025,5/14/2026,5/13/2025,CONT_AWD_HDTRA125FE020_9700_HDTRA124D0008_9700,5/13/2025,HDTRA1
HDTRA125P0001,10/23/2024,INFERLINK CORP,167500,SMALL BUSINESS INNOVATION RESEARCH PHASE I - USING GENERATIVE LARGE LANGUAGE MODELS TO EXTRACT PATHWAYS FROM THE SCIENTIFIC LITERATURE,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,17,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,PURCHASE ORDER,10/24/2024,5/23/2025,10/23/2024,CONT_AWD_HDTRA125P0001_9700_-NONE-_-NONE-,10/23/2024,HDTRA1
